period_normalized_date,category,brand,product_name,sub_segment,promotion,uom,item_code,sales_units,price_per_sales_unit,price_per_sales_per_uom,sales_value,sales_per_uom,emirate,store_type,is_weekend,is_holiday,month,day_of_week,day_of_month,rolling_3day_mean,rolling_7day_mean,rolling_30day_mean,rolling_3day_std,rolling_7day_std,rolling_30day_std
2024-11-30,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,149.07651498292748,6.025081999999999,12.552236666666666,1283.663407867984,71.55672731168204,Abu Dhabi,Convenience Store,1,0,11,5,30,106.39332148511865,98.86542413385281,92.63506780206554,28.619612438747076,19.5518189434838,17.93417946683741
2024-12-01,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,99.8480739042701,6.3285366666666665,13.184444000000001,916.2003905629165,47.92707561898824,Abu Dhabi,Convenience Store,0,0,12,6,1,126.99376243574085,104.64770862441449,94.01468503,30.177657856275587,27.343431661355826,20.53538152623152
2024-12-02,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,116.99189797509433,6.3285366666666665,13.184444000000001,1073.5111697822576,56.156111197869706,Abu Dhabi,Convenience Store,0,1,12,0,2,129.4070825527954,106.47941137521097,93.62671787916503,26.061708330293044,26.378687465048067,20.30252483730733
2024-12-03,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,103.59282561573414,6.3285366666666665,13.184444000000001,950.5620246580713,49.72455644592684,Abu Dhabi,Convenience Store,0,1,12,1,3,121.97216228743066,111.17715189806377,93.23497505393425,24.989240229031758,24.598608013788734,19.706181734731057
2024-12-04,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,66.17481795697834,6.3285366666666665,13.184444000000001,607.2164608377146,31.763912715408395,Abu Dhabi,Convenience Store,0,0,12,2,4,106.81093249836623,112.66989670476885,93.6062313285842,9.013591674459077,23.61942890456573,19.79569471054354
2024-12-05,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,65.16044182302753,6.3285366666666665,13.184444000000001,597.9086016696501,31.277012169639548,Abu Dhabi,Convenience Store,0,0,12,3,5,95.58651384926897,109.65555753704277,92.89230026137805,26.33760954354596,28.28592751916794,20.39713121952443
2024-12-06,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,97.52009704738428,6.3285366666666665,13.184444000000001,894.8390039872962,46.80964672430378,Abu Dhabi,Convenience Store,1,0,12,4,6,78.30936179858004,105.73446157560291,92.2108689640019,21.901995267105093,32.61425351735075,20.98212955887378
2024-12-07,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,85.6611696719042,6.3285366666666665,13.184444000000001,786.0221438494718,41.117361566859024,Abu Dhabi,Convenience Store,1,0,12,5,7,76.28511894246343,99.76638132934518,92.56533311682118,18.397023157908993,29.079964540873704,20.978896809427894
2024-12-08,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,79.81022059917858,6.3285366666666665,13.184444000000001,732.3341595350774,38.308906003457544,Abu Dhabi,Convenience Store,0,0,12,6,8,82.78056951410538,90.70704628491328,92.98427875012209,16.3710175160754,19.437218941277678,20.700267963168063
2024-12-09,TOTAL COFFEE,NESCAFE,NESCAFE 3IN1 CLASSIC 20GX24 BOX (CM),INSTANT MIXES,NO PROMO,KGS-LTRS,2000040000000.0,61.71956815829283,6.3285366666666665,13.184444000000001,566.3353356842684,29.625392805572154,Abu Dhabi,Convenience Store,0,0,12,0,9,87.66382910615573,87.84449581275734,92.10394406401346,9.023187605268953,19.34190588107828,20.679530626543862
